# Logger: PatternLogger | Started: Sun Apr 26 10:47:21 EDT 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-04-26 10:47:39.025,17.460,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[0c535b99-1da9-4395-bc4e-b026689e84d2];[3c0811ec-113f-472d-a79a-c03fec88030d]]
2026-04-26 10:47:39.037,17.472,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[c5fc3689-b5a7-44f9-986b-97feb702acaf]]
2026-04-26 10:47:40.030,18.465,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[ab60cc03-0afb-44ce-a258-7533fdc9bc72]]
2026-04-26 10:47:40.031,18.466,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[0c535b99-1da9-4395-bc4e-b026689e84d2];[3c0811ec-113f-472d-a79a-c03fec88030d];[ab60cc03-0afb-44ce-a258-7533fdc9bc72]]
2026-04-26 10:47:40.031,18.466,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[c5fc3689-b5a7-44f9-986b-97feb702acaf];[ab60cc03-0afb-44ce-a258-7533fdc9bc72]]
2026-04-26 10:47:40.045,18.480,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[306f2df7-0e83-4699-9a9e-5c9afe4ec216]]
2026-04-26 10:47:41.019,19.454,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[aa3a9296-529f-42f1-b497-0de8f4ddef8a]]
2026-04-26 10:47:41.034,19.469,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[c379d413-dfe4-4645-a019-f27e3a81b05c]]
2026-04-26 10:47:41.035,19.470,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[c5fc3689-b5a7-44f9-986b-97feb702acaf];[ab60cc03-0afb-44ce-a258-7533fdc9bc72];[c379d413-dfe4-4645-a019-f27e3a81b05c]]
2026-04-26 10:47:41.035,19.470,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[306f2df7-0e83-4699-9a9e-5c9afe4ec216];[c379d413-dfe4-4645-a019-f27e3a81b05c]]
2026-04-26 10:47:42.016,20.451,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[6a76a594-9563-43bf-a7e5-677364d30caf]]
2026-04-26 10:47:42.017,20.452,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[306f2df7-0e83-4699-9a9e-5c9afe4ec216];[c379d413-dfe4-4645-a019-f27e3a81b05c];[6a76a594-9563-43bf-a7e5-677364d30caf]]
2026-04-26 10:47:42.030,20.465,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[edb979f5-bdda-4d38-a5b5-9e019cdf032a]]
2026-04-26 10:47:43.020,21.455,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[189b320b-ca20-41f9-a91f-d31b5487e266]]
2026-04-26 10:47:43.022,21.457,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[edb979f5-bdda-4d38-a5b5-9e019cdf032a];[189b320b-ca20-41f9-a91f-d31b5487e266]]
2026-04-26 10:47:43.035,21.470,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[2edeee04-9873-4ae5-a787-5e3d5136f8f5]]
2026-04-26 10:47:44.010,22.445,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[29d904a7-83b1-4ed9-af4e-be9384de75dc]]
2026-04-26 10:47:44.025,22.460,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[a9ce557e-66ba-4e27-8a79-d058218c3c57]]
2026-04-26 10:47:44.025,22.460,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[edb979f5-bdda-4d38-a5b5-9e019cdf032a];[189b320b-ca20-41f9-a91f-d31b5487e266];[a9ce557e-66ba-4e27-8a79-d058218c3c57]]
2026-04-26 10:47:44.026,22.461,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[2edeee04-9873-4ae5-a787-5e3d5136f8f5];[a9ce557e-66ba-4e27-8a79-d058218c3c57]]
2026-04-26 10:47:45.011,23.446,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[4103b6e5-ba6c-43d4-804f-6059de0700d2]]
2026-04-26 10:47:45.023,23.458,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[81aafde0-3ac6-4bfe-9301-1e86c8ee47ab]]
2026-04-26 10:47:45.026,23.461,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[2edeee04-9873-4ae5-a787-5e3d5136f8f5];[a9ce557e-66ba-4e27-8a79-d058218c3c57];[81aafde0-3ac6-4bfe-9301-1e86c8ee47ab]]
2026-04-26 10:47:45.027,23.462,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[4103b6e5-ba6c-43d4-804f-6059de0700d2];[81aafde0-3ac6-4bfe-9301-1e86c8ee47ab]]
2026-04-26 10:47:46.014,24.449,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[683f87b8-6009-47e7-af18-51fc3f87c781]]
2026-04-26 10:47:46.015,24.450,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[4103b6e5-ba6c-43d4-804f-6059de0700d2];[81aafde0-3ac6-4bfe-9301-1e86c8ee47ab];[683f87b8-6009-47e7-af18-51fc3f87c781]]
2026-04-26 10:47:46.029,24.464,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[4b38625e-8c70-43d9-8d1f-87947b476334]]
2026-04-26 10:47:47.017,25.452,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[2404fced-7c4d-4718-96f3-41b365bf8a1b]]
2026-04-26 10:47:47.018,25.453,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[4b38625e-8c70-43d9-8d1f-87947b476334];[2404fced-7c4d-4718-96f3-41b365bf8a1b]]
