# Started Tue Oct 14 17:08:55 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191400,None,1760476134.6117694,1432044000.0,float,m,0.237,source,None,None,None,None,observed,dataset,{'ground_truth': 0.237}
Calumet_Beach_Wave_Period,CalumetBeach201505191800,None,1760476134.641859,1432058400.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Montrose_Beach_Wave_Period,MontroseBeach201505191700,None,1760476134.641859,1432054800.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505191900,None,1760476134.6575656,1432062000.0,float,C,13.0,source,None,None,None,None,observed,dataset,{'ground_truth': 13.0}
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191500,None,1760476134.6575656,1432047600.0,float,C,11.3,source,None,None,None,None,observed,dataset,{'ground_truth': 11.3}
Montrose_Beach_Water_Temperature,MontroseBeach201505191800,None,1760476134.6734788,1432058400.0,float,C,12.3,source,None,None,None,None,observed,dataset,{'ground_truth': 12.3}
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191500,None,1760476134.6886911,1432047600.0,float,NTU,1.35,source,None,None,None,None,observed,dataset,{'ground_truth': 1.35}
Montrose_Beach_Turbidity,MontroseBeach201505191800,None,1760476134.6896908,1432058400.0,float,NTU,0.67,source,None,None,None,None,observed,dataset,{'ground_truth': 0.67}
Calumet_Beach_Turbidity,CalumetBeach201505191900,None,1760476134.6896908,1432062000.0,float,NTU,1.58,source,None,None,None,None,observed,dataset,{'ground_truth': 1.58}
Montrose_Beach_Wave_Height,MontroseBeach201505191800,None,1760476134.719963,1432058400.0,float,m,0.267,source,None,None,None,None,observed,dataset,{'ground_truth': 0.267}
Montrose_Beach_Wave_Period,MontroseBeach201505191800,None,1760476134.7353473,1432058400.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Wave_Period,CalumetBeach201505191900,None,1760476134.751443,1432062000.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191600,None,1760476134.7666445,1432051200.0,float,C,11.5,source,None,None,None,None,observed,dataset,{'ground_truth': 11.5}
Montrose_Beach_Water_Temperature,MontroseBeach201505191900,None,1760476134.7666445,1432062000.0,float,C,12.3,source,None,None,None,None,observed,dataset,{'ground_truth': 12.3}
Calumet_Beach_Water_Temperature,CalumetBeach201505192000,None,1760476134.7666445,1432065600.0,float,C,12.8,source,None,None,None,None,observed,dataset,{'ground_truth': 12.8}
Calumet_Beach_Turbidity,CalumetBeach201505192000,None,1760476134.7825468,1432065600.0,float,NTU,2.16,source,None,None,None,None,observed,dataset,{'ground_truth': 2.16}
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191600,None,1760476134.7825468,1432051200.0,float,NTU,1.95,source,None,None,None,None,observed,dataset,{'ground_truth': 1.95}
Montrose_Beach_Turbidity,MontroseBeach201505191900,None,1760476134.798039,1432062000.0,float,NTU,1.21,source,None,None,None,None,observed,dataset,{'ground_truth': 1.21}
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191600,None,1760476134.8128817,1432051200.0,float,m,0.246,source,None,None,None,None,observed,dataset,{'ground_truth': 0.246}
Calumet_Beach_Wave_Height,CalumetBeach201505192000,None,1760476134.8282886,1432065600.0,float,m,0.226,source,None,None,None,None,observed,dataset,{'ground_truth': 0.226}
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191600,None,1760476134.8430893,1432051200.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Montrose_Beach_Wave_Period,MontroseBeach201505191900,None,1760476134.8430893,1432062000.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Wave_Period,CalumetBeach201505192000,None,1760476134.8430893,1432065600.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191700,None,1760476134.8588033,1432054800.0,float,C,11.7,source,None,None,None,None,observed,dataset,{'ground_truth': 11.7}
Calumet_Beach_Water_Temperature,CalumetBeach201505192100,None,1760476134.8588033,1432069200.0,float,C,12.6,source,None,None,None,None,observed,dataset,{'ground_truth': 12.6}
Montrose_Beach_Water_Temperature,MontroseBeach201505192000,None,1760476134.8743124,1432065600.0,float,C,12.2,source,None,None,None,None,observed,dataset,{'ground_truth': 12.2}
Calumet_Beach_Turbidity,CalumetBeach201505192100,None,1760476134.8896818,1432069200.0,float,NTU,1.83,source,None,None,None,None,observed,dataset,{'ground_truth': 1.83}
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191700,None,1760476134.8896818,1432054800.0,float,NTU,3.82,source,None,None,None,None,observed,dataset,{'ground_truth': 3.82}
Montrose_Beach_Turbidity,MontroseBeach201505192000,None,1760476134.8896818,1432065600.0,float,NTU,0.58,source,None,None,None,None,observed,dataset,{'ground_truth': 0.58}
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191700,None,1760476134.9051309,1432054800.0,float,m,0.237,source,None,None,None,None,observed,dataset,{'ground_truth': 0.237}
Calumet_Beach_Wave_Height,CalumetBeach201505192100,None,1760476134.920919,1432069200.0,float,m,0.223,source,None,None,None,None,observed,dataset,{'ground_truth': 0.223}
Montrose_Beach_Wave_Height,MontroseBeach201505192000,None,1760476134.9214242,1432065600.0,float,m,0.251,source,None,None,None,None,observed,dataset,{'ground_truth': 0.251}
Montrose_Beach_Wave_Period,MontroseBeach201505192000,None,1760476134.9358282,1432065600.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191700,None,1760476134.9368398,1432054800.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Wave_Period,CalumetBeach201505192100,None,1760476134.9515522,1432069200.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191800,None,1760476134.9667912,1432058400.0,float,C,11.6,source,None,None,None,None,observed,dataset,{'ground_truth': 11.6}
Montrose_Beach_Water_Temperature,MontroseBeach201505192100,None,1760476134.9667912,1432069200.0,float,C,12.3,source,None,None,None,None,observed,dataset,{'ground_truth': 12.3}
Calumet_Beach_Turbidity,CalumetBeach201505192200,None,1760476134.982769,1432072800.0,float,NTU,2.26,source,None,None,None,None,observed,dataset,{'ground_truth': 2.26}
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191800,None,1760476134.982769,1432058400.0,float,NTU,1.67,source,None,None,None,None,observed,dataset,{'ground_truth': 1.67}
Montrose_Beach_Turbidity,MontroseBeach201505192100,None,1760476134.9984617,1432069200.0,float,NTU,0.51,source,None,None,None,None,observed,dataset,{'ground_truth': 0.51}
Calumet_Beach_Wave_Height,CalumetBeach201505192200,None,1760476135.0143137,1432072800.0,float,m,0.238,source,None,None,None,None,observed,dataset,{'ground_truth': 0.238}
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191800,None,1760476135.0143137,1432058400.0,float,m,0.227,source,None,None,None,None,observed,dataset,{'ground_truth': 0.227}
Calumet_Beach_Wave_Period,CalumetBeach201505192200,None,1760476135.0459316,1432072800.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Montrose_Beach_Wave_Period,MontroseBeach201505192100,None,1760476135.0459316,1432069200.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191900,None,1760476135.0629387,1432062000.0,float,C,11.6,source,None,None,None,None,observed,dataset,{'ground_truth': 11.6}
Montrose_Beach_Water_Temperature,MontroseBeach201505192200,None,1760476135.0629387,1432072800.0,float,C,12.3,source,None,None,None,None,observed,dataset,{'ground_truth': 12.3}
Calumet_Beach_Water_Temperature,CalumetBeach201505192300,None,1760476135.0619378,1432076400.0,float,C,12.2,source,None,None,None,None,observed,dataset,{'ground_truth': 12.2}
Montrose_Beach_Turbidity,MontroseBeach201505192200,None,1760476135.0927255,1432072800.0,float,NTU,0.46,source,None,None,None,None,observed,dataset,{'ground_truth': 0.46}
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191900,None,1760476135.0937538,1432062000.0,float,NTU,1.69,source,None,None,None,None,observed,dataset,{'ground_truth': 1.69}
Calumet_Beach_Turbidity,CalumetBeach201505192300,None,1760476135.0927255,1432076400.0,float,NTU,1.79,source,None,None,None,None,observed,dataset,{'ground_truth': 1.79}
Montrose_Beach_Wave_Height,MontroseBeach201505192200,None,1760476135.12345,1432072800.0,float,m,0.227,source,None,None,None,None,observed,dataset,{'ground_truth': 0.227}
Montrose_Beach_Wave_Period,MontroseBeach201505192200,None,1760476135.1390548,1432072800.0,float,s,2.0,source,None,None,None,None,observed,dataset,{'ground_truth': 2.0}
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191900,None,1760476135.1398268,1432062000.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Wave_Period,CalumetBeach201505192300,None,1760476135.1398268,1432076400.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Water_Temperature,Calumet_Beach_Water_Temperature_warmup,,,1760476133.8506484,,,None,warmup,,,,,init,,
Calumet_Beach_Turbidity,Calumet_Beach_Turbidity_warmup,,,1760476133.8790302,,,None,warmup,,,,,init,,
Calumet_Beach_Wave_Height,Calumet_Beach_Wave_Height_warmup,,,1760476133.9130719,,,None,warmup,,,,,init,,
Calumet_Beach_Wave_Period,Calumet_Beach_Wave_Period_warmup,,,1760476133.9359388,,,None,warmup,,,,,init,,
Calumet_Beach_Water_Temperature,CalumetBeach201505191200,,,1760476133.9506483,,,10.0,missing,10.0,KalmanFilter,0.3076875740373225,True,reconstructed,,{'ground_truth': 12.9}
Montrose_Beach_Water_Temperature,Montrose_Beach_Water_Temperature_warmup,,,1760476133.9595814,,,None,warmup,,,,,init,,
Montrose_Beach_Turbidity,Montrose_Beach_Turbidity_warmup,,,1760476133.9864516,,,None,warmup,,,,,init,,
Montrose_Beach_Wave_Height,Montrose_Beach_Wave_Height_warmup,,,1760476134.0095425,,,None,warmup,,,,,init,,
Montrose_Beach_Wave_Period,Montrose_Beach_Wave_Period_warmup,,,1760476134.0322335,,,None,warmup,,,,,init,,
63rd_Street_Beach_Water_Temperature,63rd_Street_Beach_Water_Temperature_warmup,,,1760476134.0557392,,,None,warmup,,,,,init,,
Calumet_Beach_Turbidity,CalumetBeach201505191300,,,1760476134.07903,,,1.0,missing,1.0,KalmanFilter,0.3076449776957391,True,reconstructed,,{'ground_truth': 1.3}
63rd_Street_Beach_Turbidity,63rd_Street_Beach_Turbidity_warmup,,,1760476134.0801275,,,None,warmup,,,,,init,,
63rd_Street_Beach_Wave_Height,63rd_Street_Beach_Wave_Height_warmup,,,1760476134.1036997,,,None,warmup,,,,,init,,
Montrose_Beach_Wave_Height,MontroseBeach201505191200,,,1760476134.1095424,,,0.2,missing,0.2,KalmanFilter,0.3075030750307503,True,reconstructed,,{'ground_truth': 0.232}
63rd_Street_Beach_Wave_Period,63rd_Street_Beach_Wave_Period_warmup,,,1760476134.126702,,,None,warmup,,,,,init,,
Calumet_Beach_Wave_Period,CalumetBeach201505191300,,,1760476134.1359386,,,3.0,missing,3.0,KalmanFilter,0.3076449776957391,True,reconstructed,,{'ground_truth': 3.0}
Montrose_Beach_Water_Temperature,MontroseBeach201505191300,,,1760476134.1595812,,,10.0,missing,10.0,KalmanFilter,0.3076875740373225,True,reconstructed,,{'ground_truth': 12.0}
Calumet_Beach_Turbidity,CalumetBeach201505191400,,,1760476134.17903,,,1.0,missing,1.0,KalmanFilter,0.09998375264019595,True,reconstructed,,{'ground_truth': 1.38}
Montrose_Beach_Turbidity,MontroseBeach201505191300,,,1760476134.1864514,,,1.0,missing,1.0,KalmanFilter,0.3076449776957391,True,reconstructed,,{'ground_truth': 0.5}
Montrose_Beach_Wave_Height,MontroseBeach201505191300,,,1760476134.2095423,,,0.2,missing,0.2,KalmanFilter,0.09993504222255534,True,reconstructed,,{'ground_truth': 0.25}
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000,,,1760476134.226702,,,3.0,missing,3.0,KalmanFilter,0.3076449776957391,True,reconstructed,,{'ground_truth': 3.0}
Calumet_Beach_Wave_Period,CalumetBeach201505191500,,,1760476134.3359385,,,3.0,missing,3.0,KalmanFilter,0.09998375264019595,True,reconstructed,,{'ground_truth': 3.0}
Montrose_Beach_Water_Temperature,MontroseBeach201505191500,,,1760476134.359581,,,10.0,missing,10.0,KalmanFilter,0.09999837502640582,True,reconstructed,,{'ground_truth': 12.0}
Calumet_Beach_Turbidity,CalumetBeach201505191600,,,1760476134.3790298,,,1.0,missing,1.0,KalmanFilter,0.0319937292290711,True,reconstructed,,{'ground_truth': 1.32}
Montrose_Beach_Wave_Height,MontroseBeach201505191500,,,1760476134.409542,,,0.2,missing,0.2,KalmanFilter,0.03197493165358359,True,reconstructed,,{'ground_truth': 0.299}
Calumet_Beach_Wave_Period,CalumetBeach201505191700,,,1760476134.5359383,,,3.0,missing,3.0,KalmanFilter,0.0319937292290711,True,reconstructed,,{'ground_truth': 3.0}
Montrose_Beach_Water_Temperature,MontroseBeach201505191700,,,1760476134.5595808,,,10.0,missing,10.0,KalmanFilter,0.03199937281229288,True,reconstructed,,{'ground_truth': 12.2}
Montrose_Beach_Turbidity,MontroseBeach201505191700,,,1760476134.586451,,,1.0,missing,1.0,KalmanFilter,0.09998375264019595,True,reconstructed,,{'ground_truth': 0.68}
Montrose_Beach_Wave_Height,MontroseBeach201505191700,,,1760476134.609542,,,0.2,missing,0.2,KalmanFilter,0.01218249375647195,True,reconstructed,,{'ground_truth': 0.283}
Calumet_Beach_Wave_Height,CalumetBeach201505191800,,,1760476134.6130712,,,0.2,missing,0.2,KalmanFilter,0.3075030750307503,True,reconstructed,,{'ground_truth': 0.207}
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191400,,,1760476134.6267016,,,3.0,missing,3.0,KalmanFilter,0.012191962448755658,True,reconstructed,,{'ground_truth': 3.0}
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191500,,,1760476134.703699,,,0.2,missing,0.2,KalmanFilter,0.03197493165358359,True,reconstructed,,{'ground_truth': 0.253}
Calumet_Beach_Wave_Height,CalumetBeach201505191900,,,1760476134.713071,,,0.2,missing,0.2,KalmanFilter,0.09993504222255534,True,reconstructed,,{'ground_truth': 0.21}
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191500,,,1760476134.7267015,,,3.0,missing,3.0,KalmanFilter,0.00545518767891311,True,reconstructed,,{'ground_truth': 3.0}
Montrose_Beach_Wave_Height,MontroseBeach201505191900,,,1760476134.8095417,,,0.2,missing,0.2,KalmanFilter,0.005449680376245934,True,reconstructed,,{'ground_truth': 0.271}
Calumet_Beach_Water_Temperature,CalumetBeach201505192200,,,1760476134.9506474,,,10.0,missing,10.0,KalmanFilter,0.09999837502640582,True,reconstructed,,{'ground_truth': 12.3}
Montrose_Beach_Wave_Height,MontroseBeach201505192100,,,1760476135.0095415,,,0.2,missing,0.2,KalmanFilter,0.002757772436891825,True,reconstructed,,{'ground_truth': 0.24}
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191800,,,1760476135.0267012,,,3.0,missing,3.0,KalmanFilter,0.0027612648387783756,True,reconstructed,,{'ground_truth': 3.0}
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191900,,,1760476135.1036987,,,0.2,missing,0.2,KalmanFilter,0.01218249375647195,True,reconstructed,,{'ground_truth': 0.212}
Calumet_Beach_Wave_Height,CalumetBeach201505192300,,,1760476135.1130707,,,0.2,missing,0.2,KalmanFilter,0.03197493165358359,True,reconstructed,,{'ground_truth': 0.243}
Calumet_Beach_Water_Temperature,CalumetBeach201505191300,None,1760476134.0652657,1432040400.0,float,C,12.9,source,12.892350962249774,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9}
Calumet_Beach_Water_Temperature,CalumetBeach201505191400,None,1760476134.1592326,1432044000.0,float,C,12.9,source,12.974466550721157,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9}
Calumet_Beach_Water_Temperature,CalumetBeach201505191500,None,1760476134.252866,1432047600.0,float,C,12.9,source,12.903211755832004,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9}
Calumet_Beach_Water_Temperature,CalumetBeach201505191600,None,1760476134.3625298,1432051200.0,float,C,13.0,source,12.920759687038194,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 13.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505191700,None,1760476134.457017,1432054800.0,float,C,13.0,source,12.904625302452901,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 13.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505191800,None,1760476134.56528,1432058400.0,float,C,13.1,source,12.9586526183284,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 13.1}
Calumet_Beach_Water_Temperature,CalumetBeach201505191900,None,1760476134.6575656,1432062000.0,float,C,13.0,source,12.914623371831437,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 13.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505192000,None,1760476134.7666445,1432065600.0,float,C,12.8,source,12.762496106698237,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.8}
Calumet_Beach_Water_Temperature,CalumetBeach201505192100,None,1760476134.8588033,1432069200.0,float,C,12.6,source,12.561162231611883,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.6}
